date,open,high,low,close,volume
2023-08-21,135.27,135.75,134.43,135.19,44365453.0
2023-08-22,137.64,139.1,134.39,137.14,12998746.0
2023-08-23,137.84,138.73,137.01,137.97,24620000.0
2023-08-24,136.99,138.92,134.36,137.69,42235974.0
2023-08-25,137.64,139.56,136.23,137.65,33046731.0
2023-08-28,135.97,138.06,134.71,136.34,13257463.0
2023-08-29,137.16,138.53,135.18,137.3,7755660.0
2023-08-30,136.37,138.77,134.88,136.41,35220008.0
2023-08-31,133.28,134.66,132.65,133.96,35101054.0
2023-09-01,130.82,132.54,129.99,131.46,66454951.0
2023-09-04,132.03,132.56,131.16,131.84,30147991.0
2023-09-05,134.83,136.41,133.03,135.04,69424359.0
2023-09-06,134.37,136.68,132.22,135.4,15435464.0
2023-09-07,135.52,136.64,134.45,135.2,25873831.0
2023-09-08,135.94,137.17,134.82,135.83,12318261.0
2023-09-11,138.26,139.63,137.45,138.55,43108603.0
2023-09-12,138.5,141.58,136.75,139.05,14449502.0
2023-09-13,138.59,139.62,137.65,138.24,30336156.0
2023-09-14,140.74,141.71,139.73,140.59,27408411.0
2023-09-15,142.56,144.31,139.29,141.54,15156160.0
2023-09-18,145.07,147.46,141.75,144.89,13723365.0
2023-09-19,145.5,147.19,143.59,145.33,29752089.0
2023-09-20,142.65,143.25,142.16,142.73,64839828.0
2023-09-21,140.21,141.16,138.68,139.87,19583157.0
2023-09-22,143.69,144.01,142.86,143.42,34866788.0
2023-09-25,147.77,151.0,145.48,147.22,23009921.0
2023-09-26,146.64,148.66,144.68,146.87,43385034.0
2023-09-27,145.88,147.27,144.92,146.07,26249672.0
2023-09-28,149.14,149.78,148.78,149.35,70558789.0
2023-09-29,147.29,148.16,146.55,146.94,21260967.0
2023-10-02,145.67,147.26,143.42,145.02,10898565.0
2023-10-03,146.27,147.46,144.35,146.47,37424815.0
2023-10-04,145.47,146.62,143.2,145.65,38182636.0
2023-10-05,145.82,146.81,144.6,145.68,49804670.0
2023-10-06,145.26,147.62,143.06,145.37,46116038.0
2023-10-09,146.57,147.18,145.43,146.15,49592124.0
2023-10-10,148.31,151.91,146.05,149.32,47904107.0
2023-10-11,149.19,150.59,147.62,149.56,21894712.0
2023-10-12,150.71,152.51,149.85,151.06,29147519.0
2023-10-13,145.51,148.4,144.26,146.53,17729364.0
2023-10-16,146.04,147.6,144.17,146.47,24608641.0
2023-10-17,144.27,148.09,142.77,144.67,26684808.0
2023-10-18,142.0,143.08,141.13,142.09,8994655.0
2023-10-19,140.74,142.48,139.32,140.27,17857047.0
2023-10-20,139.51,140.76,138.84,139.61,31795282.0
2023-10-23,141.15,142.42,140.24,141.59,27690820.0
2023-10-24,138.82,139.81,138.21,138.84,69191447.0
2023-10-25,139.38,139.96,138.49,138.95,26936780.0
2023-10-26,137.58,138.47,137.0,137.98,54845629.0
2023-10-27,136.97,138.17,135.6,137.35,37937834.0
2023-10-30,139.7,141.32,138.48,139.47,8909903.0
2023-10-31,140.55,142.42,139.21,140.64,16525073.0
2023-11-01,143.81,145.91,142.67,143.53,51730604.0
2023-11-02,143.24,144.87,142.2,143.25,30721886.0
2023-11-03,142.1,142.94,140.89,141.8,22347004.0
2023-11-06,140.93,142.62,139.97,141.37,30236423.0
2023-11-07,141.92,143.37,140.86,141.93,49228185.0
2023-11-08,142.25,143.55,140.77,142.34,23818252.0
2023-11-09,139.58,140.33,138.82,140.09,9275009.0
2023-11-10,139.67,142.19,138.97,140.32,19622730.0
2023-11-13,141.14,142.15,140.08,140.85,50622868.0
2023-11-14,146.16,146.79,145.63,146.31,69181562.0
2023-11-15,150.07,152.07,148.25,150.53,66977253.0
2023-11-16,148.62,149.61,147.69,148.66,57526633.0
2023-11-17,148.57,149.72,145.54,148.07,11112925.0
2023-11-20,143.91,146.83,141.75,144.9,25393725.0
2023-11-21,143.02,145.15,140.75,143.66,9009075.0
2023-11-22,143.99,145.93,142.89,144.39,5737967.0
2023-11-23,147.71,149.31,144.02,147.07,58214221.0
2023-11-24,145.63,147.51,144.74,145.51,57195297.0
2023-11-27,144.46,145.69,142.99,144.13,14293752.0
2023-11-28,139.13,141.47,137.84,139.61,61428078.0
2023-11-29,138.84,140.53,137.2,139.31,30314623.0
2023-11-30,137.33,138.65,135.67,137.15,10652952.0
2023-12-01,136.13,138.72,133.78,136.1,53270650.0
2023-12-04,134.59,136.23,133.08,134.36,55569188.0
2023-12-05,134.14,135.55,131.04,134.21,31215451.0
2023-12-06,130.87,132.4,129.48,130.76,56068164.0
2023-12-07,128.01,129.77,126.68,127.95,32806062.0
2023-12-08,132.45,133.36,129.43,132.15,66905718.0
2023-12-11,129.97,130.87,128.83,129.66,34541172.0
2023-12-12,126.96,130.15,125.36,127.58,65507334.0
2023-12-13,130.3,132.79,128.92,131.18,12207884.0
2023-12-14,137.48,138.48,136.68,137.07,23932239.0
2023-12-15,135.2,135.78,134.26,134.72,65381572.0
2023-12-18,133.61,136.25,132.33,134.02,19875215.0
2023-12-19,134.0,135.17,133.69,134.75,21038074.0
